,Source,Date,Post_id,Sentence_id,Text,Shares,Likes,Comments,Dominant_Topic,Dominant_Pct,Dominant_Topic_Keywords,topic_1_pct,topic_2_pct,topic_3_pct,topic_4_pct,topic_5_pct,topic_6_pct,topic_7_pct,topic_8_pct,topic_9_pct,topic_10_pct,topic_11_pct,topic_12_pct,topic_13_pct,topic_14_pct,topic_15_pct
0,1,2020-02-01,0,1,update on the 2019 novel coronavirus (ncov) - false rumours: _x000d_there is a whatsapp message circulating around with a list of alleged places to avoid where suspected or confirmed cases of the ncov have been._x000d_this is false.,52,54,4,3,0.09722222222222224,community| hospital| facility| isolation| d_to| thought| morning| break| message| hotspot,0.059523809523809514,0.0615079365079365,0.09722222222222224,0.06746031746031747,0.059523809523809514,0.059523809523809514,0.07539682539682542,0.06349206349206349,0.059523809523809514,0.059523809523809514,0.06150793650793649,0.0654761904761905,0.07142857142857145,0.07738095238095241,0.06150793650793649
1,1,2020-02-01,0,2,there is no need to avoid places where persons with suspected or confirmed cases of the ncov have been._x000d_the risk of infection from transient contact such as in public places is low.,52,54,4,14,0.12643678160919544,measure| transmission| day| risk| place| virus| situation| shn| travel| traveller,0.0574712643678161,0.0574712643678161,0.0574712643678161,0.05938697318007664,0.0574712643678161,0.07088122605363988,0.07471264367816097,0.07662835249042149,0.0574712643678161,0.06513409961685826,0.06321839080459772,0.06130268199233717,0.0574712643678161,0.12643678160919544,0.0574712643678161
2,1,2020-02-01,0,3,there is also currently no evidence of community spread._x000d_for more information refer to official sources such as the ministry of health's website (http://www.moh.gov.sg/) and gov.sg (go.gov.sg/2019ncov).,52,54,4,7,0.09876543209876544,patient| health| time| support| testing| group| effort| family| person| worker,0.06172839506172837,0.07613168724279837,0.06790123456790122,0.06172839506172837,0.06172839506172837,0.06172839506172837,0.09876543209876544,0.06172839506172837,0.06172839506172837,0.06172839506172837,0.06172839506172837,0.07613168724279835,0.06378600823045266,0.06172839506172837,0.06172839506172837
3,1,2020-02-01,1,1,as of 1 february 2020 2pm we have confirmed 2 additional imported cases of 2019 novel coronavirus infection in singapore.,151,122,14,6,0.07692307692307693,infection| case| close_contact| quarantine| clinic| block| professional| water| nose| improving,0.06410256410256411,0.06410256410256411,0.06410256410256411,0.06837606837606838,0.06410256410256411,0.07692307692307693,0.06410256410256411,0.06623931623931625,0.06410256410256411,0.06837606837606838,0.0747863247863248,0.06837606837606838,0.06410256410256411,0.06410256410256411,0.06410256410256411
4,1,2020-02-01,1,2,16 confirmed cases were earlier announced by moh._x000d_both cases have recent travel history to wuhan.,151,122,14,11,0.07905982905982907,case| infection| mission| safeguard| model| withdrawal| practise| passport| trend| road,0.0641025641025641,0.0641025641025641,0.0641025641025641,0.06623931623931623,0.0641025641025641,0.07051282051282051,0.0641025641025641,0.0641025641025641,0.0641025641025641,0.07264957264957266,0.07905982905982907,0.07051282051282051,0.0641025641025641,0.0641025641025641,0.0641025641025641
5,1,2020-02-01,1,3,there is currently no evidence of community spread in singapore._x000d_the 2 new cases are stable currently and we are continuing to monitor their health.,151,122,14,7,0.11313131313131315,patient| health| time| support| testing| group| effort| family| person| worker,0.0606060606060606,0.07272727272727272,0.06666666666666665,0.06868686868686869,0.0606060606060606,0.06666666666666665,0.11313131313131315,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.06262626262626261,0.06262626262626261,0.06262626262626261,0.0606060606060606,0.0606060606060606
6,1,2020-02-01,1,4,as for the 16 previously announced cases none is critically ill. all of them remain in stable condition and most are improving._x000d_read more in the press release: https://www.moh.gov.sg/news-highlights/details/two-more-confirmed-imported-cases-of-novel-coronavirus-infection-in-singapore,151,122,14,5,0.12643678160919541,detail| release| press| www| news| stay_home_notice| addition| epidemiological_investigation| d_https| assistance,0.057471264367816084,0.057471264367816084,0.057471264367816084,0.06321839080459771,0.12643678160919541,0.07088122605363986,0.057471264367816084,0.057471264367816084,0.057471264367816084,0.06896551724137932,0.07088122605363986,0.06513409961685826,0.057471264367816084,0.057471264367816084,0.07471264367816094
7,1,2020-02-02,2,1,as of 2 february 2020 2pm we have not been notified of any new confirmed cases of 2019 novel coronavirus infection in singapore.,118,311,32,4,0.07478632478632481,case| infection| part| private_dinner_function| date| site| preliminary_investigation| fight| set| living,0.06410256410256411,0.06410256410256411,0.06410256410256411,0.07478632478632481,0.06410256410256411,0.07264957264957268,0.06410256410256411,0.06410256410256411,0.06410256410256411,0.07051282051282053,0.06837606837606838,0.07051282051282053,0.06623931623931625,0.06410256410256411,0.06410256410256411
8,1,2020-02-02,2,2,eighteen confirmed imported cases were earlier announced._x000d_there is currently no evidence of community spread in singapore._x000d_none of the 18 previously announced cases is critically ill. all of them remain in stable condition and most are improving._x000d_read more in the press release: https://www.moh.gov.sg/news-highlights/details/no-new-confirmed-cases-of-novel-coronavirus-infection-in-singapore,118,311,32,5,0.12386156648451732,detail| release| press| www| news| stay_home_notice| addition| epidemiological_investigation| d_https| assistance,0.05464480874316938,0.0692167577413479,0.06010928961748633,0.06193078324225865,0.12386156648451732,0.07103825136612021,0.06193078324225865,0.05464480874316938,0.05464480874316938,0.0692167577413479,0.0673952641165756,0.06557377049180328,0.06010928961748633,0.05464480874316938,0.07103825136612023
9,1,2020-02-03,3,1,minister for health gan kim yong delivered a ministerial statement in parliament today to provide updates on the 2019 novel coronavirus situation and healthcare-related measures that we have put in place._x000d_we have set up multiple lines of defence to reduce the risk of imported cases and local community transmission:_x000d_1)     to prevent further importation of the virus into our shores we have introduced measures such as temperature and health screening at all checkpoints as well as international travel controls._x000d_2)     to detect and contain the virus and prevent it from spreading further we have good surveillance systems to identify cases.,40,85,25,14,0.2606310013717421,measure| transmission| day| risk| place| virus| situation| shn| travel| traveller,0.04115226337448559,0.04938271604938272,0.0438957475994513,0.05075445816186557,0.052126200274348444,0.04663923182441701,0.1262002743484225,0.04252400548696844,0.04252400548696844,0.04663923182441701,0.045267489711934165,0.06858710562414268,0.04252400548696844,0.2606310013717421,0.04115226337448559
10,1,2020-02-03,3,2,our healthcare providers are right at the frontline and are on heightened alert and ready to deal with cases as they emerge._x000d_3)     most importantly all of us must play our part and exercise social responsibility to prevent or stem any possible spread of the virus in the community.,40,85,25,14,0.10922787193973638,measure| transmission| day| risk| place| virus| situation| shn| travel| traveller,0.056497175141242924,0.0696798493408663,0.06214689265536723,0.07721280602636536,0.058380414312617694,0.06214689265536723,0.056497175141242924,0.07909604519774012,0.056497175141242924,0.064030131826742,0.056497175141242924,0.064030131826742,0.07156308851224108,0.10922787193973638,0.056497175141242924
