,Source,Date,Post_id,Sentence_id,LDA_Dominant_Topic,LABEL1,Text,Dominant_Pct,Dominant_Topic_Keywords,Predicted_label
0,1,2020-02-02,2,1,4,,as of 2 february 2020 2pm we have not been notified of any new confirmed cases of 2019 novel coronavirus infection in singapore.,0.07478632478632481,case| infection| part| private_dinner_function| date| site| preliminary_investigation| fight| set| living,DORMS_OUTBREAKS
1,1,2020-02-03,3,1,14,,minister for health gan kim yong delivered a ministerial statement in parliament today to provide updates on the 2019 novel coronavirus situation and healthcare-related measures that we have put in place.we have set up multiple lines of defence to reduce the risk of imported cases and local community transmission:1)     to prevent further importation of the virus into our shores we have introduced measures such as temperature and health screening at all checkpoints as well as international travel controls.2)     to detect and contain the virus and prevent it from spreading further we have good surveillance systems to identify cases.,0.2606310013717421,measure| transmission| day| risk| place| virus| situation| shn| travel| traveller,TESTING
2,1,2020-02-03,4,1,10,,as of 3 february 2020 2pm we have not been notified of any new confirmed cases of 2019 novel coronavirus infection in singapore.,0.0747863247863248,case| infection| check| response| regulation| transport| swab| singapore| flaring| authority,DORMS_OUTBREAKS
3,1,2020-02-03,4,2,5,,eighteen confirmed imported cases were earlier announced.there is currently no evidence of community spread in singapore.none of the 18 previously announced cases is critically ill. all of them remain in stable condition and most are improving.,0.12386156648451732,detail| release| press| www| news| stay_home_notice| addition| epidemiological_investigation| d_https| assistance,IMPORT_VS_LOCAL
4,1,2020-02-04,5,6,5,,he has recovered and has been comprehensively tested negative for the virus.,0.12429378531073448,detail| release| press| www| news| stay_home_notice| addition| epidemiological_investigation| d_https| assistance,RESPONSIBILITY
5,1,2020-02-04,6,1,6,,as of 4 february 12pm 289 of the suspect cases have tested negative for 2019 novel coronavirus and 24 have tested positive.,0.07189542483660133,infection| case| close_contact| quarantine| clinic| block| professional| water| nose| improving,DORMS_OUTBREAKS
6,1,2020-02-04,6,2,12,,test results for the remaining 20 cases are pending.as of 4 february 12pm we have identified 311 close contacts.,0.096969696969697,case| dorm| today| number| test| fewer_test| tracer| working| result| laboratory,TRACING
7,1,2020-02-04,6,4,5,,efforts are ongoing to contact the remaining five close contacts.,0.12643678160919544,detail| release| press| www| news| stay_home_notice| addition| epidemiological_investigation| d_https| assistance,TRACING
8,1,2020-02-05,7,2,10,,together we can overcome this challenge as a nation.,0.0790598290598291,case| infection| check| response| regulation| transport| swab| singapore| flaring| authority,RESPONSIBILITY
9,1,2020-02-05,8,1,7,,the straits times spoke to experts in singaporeâ€™s medical community on our readiness to deal with the 2019 novel coronavirus.,0.11111111111111113,patient| health| time| support| testing| group| effort| family| person| worker,NEW_CASES
10,1,2020-02-06,9,2,7,,itâ€™s tiring at times but i know this is important in preventing the virus from going aroundâ€~ mr umarul naim bin bacok housekeeping and father of a 7-month-old baby #storiesfromwithin #coronavirus #sghseen #singapore #facesofhealthcare,0.08024691358024692,patient| health| time| support| testing| group| effort| family| person| worker,NEW_CASES
